time,step,quantity,kprl,value
0.0,0,upar,12.0,0.0
0.0,0,upar,12.999999999999998,0.0
0.0,0,upar,14.000000000000002,0.0
0.0,0,upar,15.0,0.0
0.0,0,upar,16.0,0.0
0.0,0,upar,17.0,0.0
0.0,0,upar,18.0,0.0
0.0,0,upar,19.0,0.0
0.0,0,upar,20.0,0.0
0.0,0,upar,21.0,0.0
0.0,0,upar,22.0,0.0
0.0,0,upar,23.0,0.0
0.0,0,upar,24.0,0.0
0.0,0,upar,25.0,0.0
0.0,0,upar,25.999999999999996,0.0
0.0,0,upar,27.000000000000004,0.0
0.0,0,upar,28.000000000000004,0.0
0.0,0,upar,29.000000000000004,0.0
0.0,0,upar,30.0,0.0
0.0,0,upar,31.0,0.0
0.0,0,upar,32.0,0.0
0.0,0,upar,33.0,0.0
0.0,0,upar,34.0,0.0
0.0,0,upar,35.0,0.0
0.0,0,upar,36.0,0.0
0.0,0,upar,37.0,0.0
0.0,0,upar,38.0,0.0
0.0,0,upar,39.0,0.0
0.0,0,upar,40.0,0.0
0.0,0,upar,41.0,0.0
0.0,0,upar,42.0,0.0
0.0,0,upar,43.0,0.0
0.0,0,upar,44.0,0.0
0.0,0,upar,45.0,0.0
0.0,0,upar,46.0,0.0
0.0,0,upar,47.0,0.0
0.0,0,upar,48.0,0.0
0.0,0,upar,49.0,0.0
0.0,0,upar,50.0,0.0
0.0,0,upar,51.0,0.0
0.0,0,upar,51.99999999999999,0.0
0.0,0,upar,52.99999999999999,0.0
0.0,0,upar,54.00000000000001,0.0
0.0,0,upar,55.00000000000001,0.0
0.0,0,upar,56.00000000000001,0.0
0.0,0,upar,57.00000000000001,0.0
0.0,0,upar,58.00000000000001,0.0
0.0,0,upar,59.00000000000001,0.0
0.0,0,upar,60.0,0.0
0.0,0,upar,61.0,0.0
0.0,0,upar,62.0,0.0
0.0,0,upar,63.0,0.0
0.0,0,upar,64.0,0.0
0.0,0,dbpar,0.0,0.05725944092406309
0.0,0,dbpar,1.0,0.09090482665790982
0.0,0,dbpar,2.0,0.07601202996423644
0.0,0,dbpar,3.0,0.0005055073995838999
0.0,0,dbpar,4.0,0.0
0.0,0,dbpar,5.0,0.0
0.0,0,dbpar,6.0,0.0
0.0,0,dbpar,7.000000000000001,0.0
0.0,0,dbpar,8.0,0.0
0.0,0,dbpar,9.0,0.0
0.0,0,dbpar,10.0,0.0
0.0,0,dbpar,11.0,0.0
0.0,0,dbpar,12.0,0.0
0.0,0,dbpar,12.999999999999998,0.0
0.0,0,dbpar,14.000000000000002,0.0
