time,step,quantity,kperp,value
1.0050000000000008,67,z_minus,10.5,1.6309597437416812e-05
1.0050000000000008,67,z_minus,11.5,6.573751924930956e-06
1.0050000000000008,67,z_minus,12.5,3.813393335404796e-06
1.0050000000000008,67,z_minus,13.5,1.7694180781118173e-06
1.0050000000000008,67,z_minus,14.5,7.352018714222996e-07
1.0050000000000008,67,z_minus,15.5,3.982041593182821e-07
1.0050000000000008,67,z_minus,16.5,1.60639414277619e-07
1.0050000000000008,67,z_minus,17.5,9.771123247870867e-08
1.0050000000000008,67,z_minus,18.5,3.602491743542744e-08
1.0050000000000008,67,z_minus,19.5,1.6329826299287037e-08
1.0050000000000008,67,z_minus,20.5,6.933146744947902e-09
1.0050000000000008,67,z_minus,21.5,3.3859094913963296e-09
1.0050000000000008,67,z_minus,22.5,1.1710554495273466e-09
1.0050000000000008,67,z_minus,23.5,4.1570348140981656e-10
1.0050000000000008,67,z_minus,24.5,1.6412560988571654e-10
1.0050000000000008,67,z_minus,25.5,4.569402723829821e-11
1.0050000000000008,67,z_minus,26.5,1.126240981840347e-11
1.0050000000000008,67,z_minus,27.5,2.5977708772781134e-12
1.0050000000000008,67,z_minus,28.5,4.2884002607322427e-13
1.0050000000000008,67,z_minus,29.5,1.4669424264847132e-13
1.0050000000000008,67,z_minus,30.5,0.0
1.0050000000000008,67,z_minus,31.5,0.0
1.0050000000000008,67,z_minus,32.5,0.0
1.0050000000000008,67,z_minus,33.5,0.0
1.0050000000000008,67,z_minus,34.5,0.0
1.0050000000000008,67,z_minus,35.5,0.0
1.0050000000000008,67,z_minus,36.5,0.0
1.0050000000000008,67,z_minus,37.5,0.0
1.0050000000000008,67,z_minus,38.5,0.0
1.0050000000000008,67,z_minus,39.5,0.0
1.0050000000000008,67,z_minus,40.5,0.0
1.0050000000000008,67,z_minus,41.5,0.0
1.0050000000000008,67,z_minus,42.5,0.0
1.0050000000000008,67,z_minus,43.5,0.0
1.0050000000000008,67,z_minus,44.5,0.0
1.0050000000000008,67,z_minus,45.5,0.0
2.0031746597796087,140,u_perp,0.5,0.0
2.0031746597796087,140,u_perp,1.5,0.07308146286474099
2.0031746597796087,140,u_perp,2.5,0.12689205614263935
2.0031746597796087,140,u_perp,3.5,0.03347205018215948
2.0031746597796087,140,u_perp,4.5,0.013389234681345879
2.0031746597796087,140,u_perp,5.5,0.010056750821613971
2.0031746597796087,140,u_perp,6.5,0.003731444312400836
2.0031746597796087,140,u_perp,7.5,0.003207396019047183
2.0031746597796087,140,u_perp,8.5,0.00255899758619947
2.0031746597796087,140,u_perp,9.5,0.0015352355128640178
2.0031746597796087,140,u_perp,10.5,0.0011459658481771402
2.0031746597796087,140,u_perp,11.5,0.000783750141954645
2.0031746597796087,140,u_perp,12.5,0.0007008012119732589
2.0031746597796087,140,u_perp,13.5,0.0004144924088516269
2.0031746597796087,140,u_perp,14.5,0.00026820367176052536
2.0031746597796087,140,u_perp,15.5,0.00020355313050812962
2.0031746597796087,140,u_perp,16.5,0.00013093677026109675
2.0031746597796087,140,u_perp,17.5,0.00010527112295444815
2.0031746597796087,140,u_perp,18.5,6.999224729528069e-05
2.0031746597796087,140,u_perp,19.5,3.9912443183896476e-05
2.0031746597796087,140,u_perp,20.5,2.9004342786529697e-05
2.0031746597796087,140,u_perp,21.5,2.3124675296802643e-05
2.0031746597796087,140,u_perp,22.5,5.445473499992207e-06
2.0031746597796087,140,u_perp,23.5,2.092527373996156e-06
2.0031746597796087,140,u_perp,24.5,1.0117022008869237e-06
2.0031746597796087,140,u_perp,25.5,3.6973468450983476e-07
2.0031746597796087,140,u_perp,26.5,1.316719137875221e-07
2.0031746597796087,140,u_perp,27.5,4.358870268906792e-08
2.0031746597796087,140,u_perp,28.5,8.391011792418236e-09
2.0031746597796087,140,u_perp,29.5,4.363789334630408e-09
2.0031746597796087,140,u_perp,30.5,0.0
2.0031746597796087,140,u_perp,31.5,0.0
2.0031746597796087,140,u_perp,32.5,0.0
2.0031746597796087,140,u_perp,33.5,0.0
2.0031746597796087,140,u_perp,34.5,0.0
2.0031746597796087,140,u_perp,35.5,0.0
2.0031746597796087,140,u_perp,36.5,0.0
2.0031746597796087,140,u_perp,37.5,0.0
2.0031746597796087,140,u_perp,38.5,0.0
2.0031746597796087,140,u_perp,39.5,0.0
2.0031746597796087,140,u_perp,40.5,0.0
2.0031746597796087,140,u_perp,41.5,0.0
2.0031746597796087,140,u_perp,42.5,0.0
2.0031746597796087,140,u_perp,43.5,0.0
2.0031746597796087,140,u_perp,44.5,0.0
2.0031746597796087,140,u_perp,45.5,0.0
2.0031746597796087,140,b_perp,0.5,0.0
2.0031746597796087,140,b_perp,1.5,0.07323693801767905
2.0031746597796087,140,b_perp,2.5,0.1568795875112696
2.0031746597796087,140,b_perp,3.5,0.040693625596401745
2.0031746597796087,140,b_perp,4.5,0.028295374281926286
2.0031746597796087,140,b_perp,5.5,0.018567779288021002
2.0031746597796087,140,b_perp,6.5,0.008822811297586879
