time,step,quantity,kprl,value
1.0050000000000008,67,u_perp,11.0,6.610929556064934e-09
1.0050000000000008,67,u_perp,12.0,1.7926928247125674e-09
1.0050000000000008,67,u_perp,12.999999999999998,5.286818985477213e-10
1.0050000000000008,67,u_perp,14.000000000000002,1.4738086959095535e-10
1.0050000000000008,67,u_perp,15.0,4.212704006811944e-11
1.0050000000000008,67,u_perp,16.0,1.2077695431493174e-11
1.0050000000000008,67,u_perp,17.0,3.1952024241870165e-12
1.0050000000000008,67,u_perp,18.0,9.001845221603835e-13
1.0050000000000008,67,u_perp,19.0,2.3908924585965883e-13
1.0050000000000008,67,u_perp,20.0,6.48639714198205e-14
1.0050000000000008,67,u_perp,21.0,1.877595203387247e-14
1.0050000000000008,67,u_perp,22.0,0.0
1.0050000000000008,67,u_perp,23.0,0.0
1.0050000000000008,67,u_perp,24.0,0.0
1.0050000000000008,67,u_perp,25.0,0.0
1.0050000000000008,67,u_perp,25.999999999999996,0.0
1.0050000000000008,67,u_perp,27.000000000000004,0.0
1.0050000000000008,67,u_perp,28.000000000000004,0.0
1.0050000000000008,67,u_perp,29.000000000000004,0.0
1.0050000000000008,67,u_perp,30.0,0.0
1.0050000000000008,67,u_perp,31.0,0.0
1.0050000000000008,67,u_perp,32.0,0.0
1.0050000000000008,67,b_perp,0.0,0.05715163002810067
1.0050000000000008,67,b_perp,1.0,0.10400500051940911
1.0050000000000008,67,b_perp,2.0,0.027237450329944318
1.0050000000000008,67,b_perp,3.0,0.001802013618556815
1.0050000000000008,67,b_perp,4.0,0.0003320589947796346
1.0050000000000008,67,b_perp,5.0,5.745409383186394e-05
1.0050000000000008,67,b_perp,6.0,1.1645292718707703e-05
1.0050000000000008,67,b_perp,7.000000000000001,2.524518539291871e-06
1.0050000000000008,67,b_perp,8.0,5.741574546172501e-07
1.0050000000000008,67,b_perp,9.0,1.4965063785364232e-07
1.0050000000000008,67,b_perp,10.0,3.813484404891016e-08
1.0050000000000008,67,b_perp,11.0,1.0520787139436241e-08
1.0050000000000008,67,b_perp,12.0,2.947697800126558e-09
1.0050000000000008,67,b_perp,12.999999999999998,8.003214209415293e-10
1.0050000000000008,67,b_perp,14.000000000000002,2.3003933628403143e-10
1.0050000000000008,67,b_perp,15.0,6.413019039143308e-11
1.0050000000000008,67,b_perp,16.0,1.7449598721489783e-11
1.0050000000000008,67,b_perp,17.0,5.01494384221404e-12
1.0050000000000008,67,b_perp,18.0,1.3100817014492816e-12
1.0050000000000008,67,b_perp,19.0,3.731814865725083e-13
